citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
75,C08-1098.xml,W13-2230.xml,Fraser et al.(2012) applied this method to the language pair EnglishGerman with an additional special focus on word formation issues such as the splitting and merging of portmanteau prepositions and compounds.,The presented inflection prediction systems focuses on nominal inflection; verbal inflection is not addressed.,"Morphological analysis and resources The morphological analysis of the French training data is obtained using RFTagger, which is designed for annotating fine-grained morphological tags (Schmid and Laws, 2008).","For generating inflected forms based on stems and morphological features, we use an extended version of the finite-state morphology FRMOR (Zhou, 2007).","Additionally, we use a manually compiled list of abbreviations and named entities (names of countries) and their respective grammatical gender.",Single Citance
76,C08-1098.xml,W13-2230.xml,"For the WMT2013 set, we obtain BLEU scores of 29.6 (ci) and 28.30 (cs) with the inflection prediction system mes-inflection (marked in table 5).",The preparation of the Russian data includes the following stages: (1) tokenization and tagging and (2) morphological reduction.,"Tagging and tagging errors For tagging, we use a version of RFTagger (Schmid and Laws, 2008)","3 However, the large inflection-prediction system has a slightly better NIST score than the baseline (7.63 vs. 7.61).",S MT ou tp ut wit h stem ma rku p in bol d pri nt pr ed ict ed fea tur es ge ne rat ed for m s aft er post pr oce ssi ng glo ss av ert is se m en t< Ma sc >< Pl >[ N] si ni st re [A D J] d e [ P ] l e [ A R T ] p e n t a g o n e < M a s c > < S g > [ N ] s u r [ P ] de [P ] ´ r´ d e [ P ] l e [ A R T ] bu dg et <M as c> <S g> [N ] d e [ P ] l e [ A R T ] d´ Ma sc.,Single Citance
77,C08-1098.xml,W13-2302.xml,4 Part-of-speech tagging.,"While spelling normalization can be useful in itself (e.g., for search queries in the corpus), our main focus is on its usefulness for further processing of the data such as part-of-speech tagging.","The results presented here were achieved using the RFTagger (Schmid and Laws, 2008)","Text OrigP ModP NoP Berlin 85.78% 87.29% 87.07% Melk 85.21% 87.76% 87.74% LeichSermon 81.22% 80.59% 81.04% JubelFeste 90.41% 90.41% 90.03% Gottesdienst 93.24% 93.24% 92.27% Table 3: Tagging accuracy on the gold-standard normalizations (OrigP = original punctuation, ModP = modern punctuation, NoP = no punctuation) 4.1 Impact of punctuation.",Normalization tries to handle the problem of spelling inconsistencies found in historical language data.,Single Citance
78,C08-1098.xml,W13-2708.xml,These systems in turn need various kinds of preprocessing starting from tokenization over syntactic parsing up to coreference resolution.,The Complex Concept Builder is the collection of all these systems with the goal to assist the political scientists.,"So far, the Complex Concept Builder implements tokenization (Schmid, 2009), lemmatisation (Schmid, 1995), part-of-speech tagging (Schmid and Laws, 2008)",It is important for a researcher of the humanities to be able to adapt existing classification systems according to his own needs.,"A common procedure in both, NLP and political sciences, is to annotate data.",Multi Citance
79,C10-1045.xml,D12-1046.xml,"Previous research has showed that word segmentation has a great impact on parsing accuracy in the pipeline method (Harper and Huang, 2009).","In (Jiang et al., 2009), additional data was used to improve Chinese word segmentation, which resulted in significant improvement on the parsing task using the pipeline framework.","Joint segmentation and parsing was also investigated for Arabic (Green and Manning, 2010).","A study that is closely related to ours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew.","Different from that work, we use a discriminative model, which benefits from large amounts of features and is easier to deal with unknown words.",Single Citance
80,C10-1045.xml,J13-1007.xml,"Hebrew is a specific case of a morphologically rich language, and ideas presented in this work are useful also for processing other languages, including English.",The lattice-based parsing methodology is useful in any case where the input is uncertain.,"Indeed, we have used it to solve the problem of parsing while recovering null elements in both English and Chinese (Cai, Chiang, and Goldberg 2011), and others have used it for the joint segmentation and parsing of Arabic (Green and Manning 2010).","Extending the lexical coverage of a treebank-derived parser using an external lexicon is relevant for any language with 123 a small treebank, and also for domain adaptation scenarios for English.","Finally, the agreement-as-filter methodology is applicable to any morphologically rich language, and although its contribution to the parsing task may be limited, it is of wide applicability to syntactic generation tasks, such as target-side-syntax machine translation in a morphologically rich language.",Multi Citance
81,C10-1045.xml,J13-1007.xml,"This is not the case in Hebrew, where many function words are not separated by white space but instead are prefixed to the next word and appear within the same token.","One possible solution to the unobserved word-sequence problem is a pipeline system in which an initial model is in charge of token-segmentation, and the output of the initial model is fed as the input to a second stage parser.","This is a popular approach in parsing systems for Arabic and Chinese (Jiang, Huang, and Liu 2009; Green and Manning 2010).","As discussed in Section 2.1.2 (as well as in Tsarfaty [2006a], Goldberg and Tsarfaty [2008], and Cohen and Smith [2007]), however, the token-segmentation and syntactic-parsing tasks are closely intertwined and are better performed jointly instead of in a pipeline fashion, which is the approach we explore in this work.",2.2.3 Morphological Variation and High Out-of-Vocabulary Rate.,Pre Contiguous
82,C10-1045.xml,J13-1007.xml,"For the Hebrew segmentation task, all word segmentations of a given sentence are represented using a lattice structure.","Each lattice arc corresponds to a word and its corresponding POS tag, and a path through the lattice corresponds to a specific word- segmentation and POS tagging of the sentence.","This is by now a fairly standard representation for multiple morphological segmentations of Hebrew utterances (Adler 2001; Bar-Haim, Simaâ€™an, and Winter 2005; Adler 2007; Cohen and Smith 2007; Goldberg, Adler, and Elhadad 2008; Goldberg and Tsarfaty 2008; Goldberg and Elhadad 2011).",Figure 3 depicts the lattice for the two-words sentence םיענה םלצב.19 Double-circles indicate the space-delimited token boundaries.,Note that in this construction arcs can never cross token boundaries.,Multi Citance
83,C10-1045.xml,J13-1007.xml,We show in Section 9 that this methodology is indeed superior to the pipeline approach.,"Early descriptions of algorithms for parsing over word lattices can be found in Lang (1974, 1988) and Billott and Lang (1989).","Lattice parsing was explored in the context of parsing of speech signals by Chappelier et al.(1999), Simaâ€™an (1999), and Hall (2005), and in the context of joint word-segmentation and syntactic disambiguation in Cohen and Smith (2007), Goldberg and Tsarfaty (2008), and Green and Manning (2010).",20 Lattice parsing for Hebrew is explored also in Cohen and Smith (2007).,"There, lattice arc weights are.",Multi Citance
84,C10-1045.xml,J13-1007.xml,"Most early work on constituency parsing of Arabic focused on straightforward adaptations of Bikel’s parser to Arabic, with little empirical success.",Attia et al.(2010) show that parsing accuracies of around 81% F1 can be achieved for Arabic (assuming gold word segmentation) by using a PCFG-LA parser with Arabic-specific unknown- word signatures.,"Recently, Green and Manning (2010) report on an extensive set of experiments with several kinds of tree annotations and refinements, and report parsing accuracies of 79% F1 using the Stanford-parser and 82% F1 using the PCFG-LA BerkeleyParser, both when assuming gold word segmentation.","The work of Green and Manning also explored the use of lattice-parsing as suggested in Section 7 of this article, as well as earlier in Goldberg and Tsarfaty (2008) and Cohen and Smith (2007), and report promising results for joint segmentation and parsing of Arabic (an F1 score of 76% for sentences of up to 70 words).","The best reported results for parsing Arabic when the gold word segmentation is not known, however, are obtained using a pipeline model in which a tagger and word-segmenter is applied prior to a manually state-split constituency parser, resulting in an F-score of 79% F1 (for sentences of up to 70 words) (Green and Manning 2010).",Single Citance
85,C10-1045.xml,J13-1007.xml,"Recently, Green and Manning (2010) report on an extensive set of experiments with several kinds of tree annotations and refinements, and report parsing accuracies of 79% F1 using the Stanford-parser and 82% F1 using the PCFG-LA BerkeleyParser, both when assuming gold word segmentation.","The work of Green and Manning also explored the use of lattice-parsing as suggested in Section 7 of this article, as well as earlier in Goldberg and Tsarfaty (2008) and Cohen and Smith (2007), and report promising results for joint segmentation and parsing of Arabic (an F1 score of 76% for sentences of up to 70 words).","The best reported results for parsing Arabic when the gold word segmentation is not known, however, are obtained using a pipeline model in which a tagger and word-segmenter is applied prior to a manually state-split constituency parser, resulting in an F-score of 79% F1 (for sentences of up to 70 words) (Green and Manning 2010).",152 Hebrew and relational-realizational parsing.,Some related work deals directly with constituency parsing of Modern Hebrew.,Single Citance
86,C10-1045.xml,J13-1008.xml,We also find that the number feature helps for Arabic.,"Looking at Hebrew, a Semitic language related to Arabic, Tsarfaty and Sima’an (2007) report that extending POS and phrase structure tags with definiteness information helps unlexicalized PCFG parsing.","As for work on Arabic (MSA), results have been reported on the PATB (Kulick, Gabbard, and Marcus 2006; Diab 2007; Green and Manning 2010)","Recently, Green and Manning (2010) analyzed the PATB for annotation consistency, and introduced an enhanced split-state constituency grammar, including labels for short idafa constructions and verbal or equational clauses.","Nivre (2008) reports experiments on Arabic parsing using his MaltParser (Nivre et al. 2007), trained on the PADT.",Multi Citance
87,C10-1045.xml,J13-1008.xml,"Looking at Hebrew, a Semitic language related to Arabic, Tsarfaty and Sima’an (2007) report that extending POS and phrase structure tags with definiteness information helps unlexicalized PCFG parsing.","As for work on Arabic (MSA), results have been reported on the PATB (Kulick, Gabbard, and Marcus 2006; Diab 2007; Green and Manning 2010), the Prague Dependency Treebank (PADT) (Buchholz and Marsi 2006; Nivre 2008) and the CATiB (Habash and Roth 2009).","Recently, Green and Manning (2010) analyzed the PATB for annotation consistency, and introduced an enhanced split-state constituency grammar, including labels for short idafa constructions and verbal or equational clauses.","Nivre (2008) reports experiments on Arabic parsing using his MaltParser (Nivre et al. 2007), trained on the PADT.","His results are not directly comparable to ours because of the different treebank representations, even though all the experiments reported here were performed using the MaltParser.",Single Citance
88,C10-1045.xml,J13-1008.xml,Results are shown in Table 13.,8.2 Best Results on Length-Filtered Input.,"For better comparison with work of others, we adopt the suggestion made by Green and Manning (2010) to evaluate the parsing quality on sentences up to 70 tokens long.",We report these filtered results in Table 14.,Filtered results are consistently higher (as expected).,Single Citance
89,C10-1045.xml,J13-1009.xml,"Similarly, we mark MWNs that occur more than 600 times (e.g., “N P N” and “N N”) (MWNtype1 and MWNtype2).",Arabic Grammar Features.,"The Arabic grammar features come from Green and Manning (2010), which contains an ablation study similar to Table 2.","We added one additional feature, markMWEPOS, which marks POS tags dominated by MWE phrasal categories.",3.2 Head-Finding Rules.,Single Citance
90,C10-1045.xml,J13-1009.xml,"We added one additional feature, markMWEPOS, which marks POS tags dominated by MWE phrasal categories.",3.2 Head-Finding Rules.,"For Arabic, we use the head-finding rules from Green and Manning (2010).","For French, we use the head-finding rules of DybroJohansen (2004), which yielded an approximately 1% development set improvement over those of Arun (2004).",3.3 Unknown Word Models.,Single Citance
91,C10-1045.xml,J13-1009.xml,Tag Sets.,"We used the POS tag set described by Kulick, Gabbard, and Marcus (2006).",We previously showed that the â€œKulickâ€ tag set is very effective for basic Arabic parsing (Green and Manning 2010).,MWE Tagging.,The ATB does not mark MWEs.,Single Citance
92,C10-1045.xml,J13-1009.xml,the morphological tagging evaluation because our parsers split punctuation deterministically.,languages.,We previously showed that segmentation errors decrease Arabic parsing accuracy by about 2.0% F1 (Green and Manning 2010).,Morphological analysis accuracy was another experimental resource asymmetry between the two languages.,"The morphological analyses were obtained with significantly different tools: in Arabic, we had a morphological generator/ranker (MADA), whereas for French we had only a discriminative classifier (Morfette).Consequently, French analysis quality was lower (Section 5.3).",Single Citance
93,C10-1045.xml,J13-1009.xml,"The PAPCFG is the standard baseline for TSG models (Cohn, Goldwater, and Blunsom 2009).",Berkeley Parser.,We previously showed optimal Berkeley parser (Petrov et al. 2006) pa- rameterizations for both the Arabic (Green and Manning 2010) and French (Green et al. 2011) data sets,"Others had used the Berkeley parser for French, but on an older revision of the FTB.","To our knowledge, we are the first to use the Berkeley parser for MWE identification.",Multi Citance
94,C10-1045.xml,P11-1159.xml,"Looking at Hebrew, a Semitic language related to Arabic, Tsarfaty and Sima’an (2007) report that extending POS and phrase structure tags with definiteness information helps unlexicalized PCFG parsing.","As for work on Arabic, results have been reported on PATB (Kulick et al., 2006; Diab, 2007; Green and Manning, 2010), the Prague Dependency Tree- bank (PADT) (Buchholz and Marsi, 2006; Nivre, 2008) and the Columbia Arabic Treebank (CATiB) (Habash and Roth, 2009).","Recently, Green and Manning (2010) analyzed the PATB for annotation consistency","Nivre (2008) reports experiments on Arabic parsing using his MaltParser (Nivre et al., 2007), trained on the PADT.","His results are not directly comparable to ours because of the different treebanks’ representations, even though all the experiments reported here were performed using MaltParser.",Single Citance
95,C10-1045.xml,P11-2037.xml,"Finally, we train the Berkeley parser on the preprocessed training data.","Lattice parsing Unlike the training data, the test data does not mark any empty elements.","We allow the parser to produce empty elements by means of lattice-parsing (Chappelier et al., 1999), a general processing community (Hall, 2005; Chappelier et al., 1999), and was recently applied to the task of joint clitic-segmentation and syntactic-parsing in Hebrew (Goldberg and Tsarfaty, 2008; Goldberg and Elhadad, 2011) and Arabic (Green and Manning, 2010).","Here, we use lattice parsing for empty- element recovery.",We use a modiﬁed version of the Berkeley parser which allows handling lattices as input.2 The modiﬁ- cation is fairly straightforward: Each lattice arc correspond to a lexical item.,Multi Citance
96,C10-1045.xml,P11-2122.xml,The internal consistency of the annotation in a tree- bank is crucial in order to provide reliable training and testing data for parsers and linguistic research.,"Treebank annotation, consisting of syntactic structure with words as the terminals, is by its nature more complex and thus more prone to error than other annotation tasks, such as part-of-speech tagging.","Recent work has therefore focused on the importance of detecting errors in the treebank (Green and Manning, 2010)","(Dickinson and Meurers, 2003b; Boyd et al., 2007; Kato and Matsubara, 2010).","We present here a new approach to this problem that builds upon Dickinson and Meurers (2003b), by integrating the perspective on treebank consistency checking and search in Kulick and Bies (2010).",Single Citance
97,C10-1045.xml,P11-2122.xml,"A particular etree may be reduced in one way for one nucleus, and then a different way for a different nucleus.",This is done for each etree in a derivation tree fragment.,Green and Manning (2010) discuss annotation consistency in the Penn Arabic Treebank (ATB),"Their work is ideal for us, since they used the DECCA algorithm for the consistency evaluation.","They did not use the “non-fringe” heuristic, but instead manually examined a sample of 100 nuclei to determine whether they were annotation errors.",Single Citance
98,C10-1045.xml,P11-2122.xml,"Of the first 10 different types of derivation tree inconsistencies, which include 266 different nuclei, all 10 appear to real cases of annotation inconsistency, and the same seems to hold for each of the nuclei in those 10 types, although we have not checked every single nucleus.","For comparison, we chose a sample of 100 nuclei output by DECCA on this same data, and by our judgment the DECCA precision is about 74%, including 15 duplicates.","Measuring recall is tricky, even using the errors identified in Green and Manning (2010) as â€œgoldâ€ errors.","One factor is that a system might report a variation nucleus, but still not report all the relevant instances of that nucleus.","For example, while both systems report $rm Al$yx as a sequence with inconsistent annotation, DECCA only reports the two instances that pass the “non-fringe heuristic”, while our system lists 132 instances of $rm Al$yx, partitioning them into the two derivation tree fragments.",Single Citance
99,C10-1045.xml,P11-2124.xml,"They experimented with various manual refinements of unlexicalized, treebank-derived grammars, and showed that better grammars contribute to better segmentation accuracies.",Goldberg et al.(2009) showed that segmentation and parsing ac- curacies can be further improved by extending the lexical coverage of a lattice-parser using an external resource.,"Recently, Green and Manning (2010) demonstrated the effectiveness of lattice-parsing for parsing Arabic.","Here, we report the results of experiments coupling lattice parsing together with the currently best grammar learning method: the Berkeley PCFG-LA parser (Petrov et al., 2006).","704 Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics:shortpapers, pages 704–709, Portland, Oregon, June 1924, 2011.",Single Citance
100,C10-1045.xml,P12-1016.xml,An implementation issue may account for the decoding slowdown.,"(p.c.) 7 LDC catalog numbers: LDC2008E61 (ATBp1v4), LDC2008E62 (ATBp2v3), and LDC2008E22 (ATBp3v3.1).","The data was pre-processed with packages from the Stanford Arabic parser (Green and Manning, 2010).",The corpus split is available at http://nlp.stanford.edu/projects/arabic.shtml.,8 We ignore orthographic re-normalization performed by the annotators.,Single Citance
101,C10-1045.xml,P12-2002.xml,Morphologically complex words may be highly ambiguous and in order to segment them correctly their analysis has to be disambiguated.,The multiple morphological analyses of input words may be represented via a lattice that encodes the different segmentation possibilities of the entire word sequence.,"One can either select a segmentation path prior to parsing, or, as has been recently argued, one can let the parser pick a segmentation jointly with decoding (Tsarfaty, 2006; Cohen and Smith, 2007; Goldberg and Tsarfaty, 2008; Green and Manning, 2010).","If the selected segmentation is different from the gold segmentation, the gold and parse trees are rendered incomparable and standard evaluation metrics break down.","Evaluation scenarios restricted to gold input are often used to bypass this problem, but, as shall be seen shortly, they present an overly optimistic upper- bound on parser performance.",Multi Citance
102,C10-1045.xml,P12-2002.xml,"The word BCLM, for instance, can be segmented into the noun BCL (“onion”) and M (a genitive suffix, “of them”), or into the prefix B (“in”) followed by the noun CLM (“image”).2 The multitude of morphological analyses may be encoded in a lattice structure, as illustrated in Figure 2.",1 We use the Hebrew transliteration in Sima’an et al.(2001)..,2 The complete set of analyses for this word is provided in Goldberg and Tsarfaty (2008).,Figure 2: The morphological segmentation possibilities of BCLM HNEIM.,Double-circles are word boundaries.,Single Citance
103,C10-1045.xml,P12-2002.xml,Double-circles are word boundaries.,"In practice, a statistical component is required to decide on the correct morphological segmentation, that is, to pick out the correct path through the lattice.","This may be done based on linear local context (Adler and Elhadad, 2006; Shacham and Wintner, 2007; Bar-haim et al., 2008; Habash and Rambow, 2005), or jointly with parsing (Tsarfaty, 2006; Goldberg and Tsarfaty, 2008; Green and Manning, 2010).","Either way, an incorrect morphological segmentation hypothesis introduces errors into the parse hypothesis, ultimately providing a parse tree which spans a different yield than the gold terminals.","In such cases, existing evaluation metrics break down.",Pre Contiguous
104,C10-1045.xml,W13-4904.xml,"Since we want a large annotated corpus with fine-grained labels, we create our own ATB conversion.","4.5.2 Transformations In addition to converting the ATB’s constituent parses to dependency trees, we make a handful of other changes.","Following Green and Manning (2010) and others, sentences headed by X nodes are deleted","Following Rambow et al.(2005), Treebank sentences headed by TOP elements containing multiple S daughters are split into separate sentences.8 Additionally, if the dependency converter concludes that an S node without treebank functional tags is dependent upon another S node and is separated from it via sentence-final punctuation (e.g., an exclamation point), these S nodes are separated into distinct sentences as well.","For the broadcast news data, we remove all subtrees headed by EDITED tags to make it more closely resemble newswire text.9 Since we adhere to the tokenization scheme used by the ATB, and we do not split off the determiner Al as its own tree token.",Single Citance
105,C10-1045.xml,W13-4904.xml,"For example, to parse Modern Hebrew, Cohen and Smith (2007) combine a morphological model with a syntactic model using a product of experts.","Another alternative is lattice parsing, which can be used to jointly model both tokenization and parsing (Chappelier et al., 1999).","Green and Manning (2010) obtain the opposite result in their Arabic parsing experiments, with the lattice parser underperforming the pipeline system by over 3 points (76.01 F1 vs 79.17 F1).",Why lattice parsing may help in some cases but not others is not clear.,Some Arabic parsing work focuses on the usefulness of various features and part-of-speech tagsets.,Single Citance
106,C10-1045.xml,W13-4904.xml,"There has been a flurry of recent research involving the joint modeling of dependency parsing and lower-level tasks14 for a variety of languages, with most of the attention focused on Chinese.","While lacking Arabic’s morphological richness, Chinese has its own challenges, such as word segmentation and part-of-speech ambiguities, which have led researchers to develop new unified approaches for processing it.","Green and Manning (2010) find that using automatic tokenization provided by MADA (Habash et al., 2009) instead of gold tokenization results in a 1.92% F score drop in their constituent parsing work.",14 Systems that jointly model POS tagging and constituent.,parsing have existed for some time.,Single Citance
107,C10-1045.xml,W13-4917.xml,"To obtain these dependency trees, we used the constituent-to-dependency tool (Habash and Roth, 2009).","Additional CATiB trees were annotated directly, but we only use the portions that are converted from phrase-structure representation, to ensure that the constituent and dependency yields can be aligned.","The Stanford Arabic Phrase Structure Treebank In order to stay compatible with the state of the art, we provide the constituency data set with most of the pre-processing steps of Green and Manning (2010)","At the phrasal level, we collapse unary chains with identical categories like NP → NP.","We finally remove all traces, but, unlike Green and Manning (2010), we keep all function tags.",Single Citance
108,C10-1045.xml,W13-4917.xml,"The Stanford Arabic Phrase Structure Treebank In order to stay compatible with the state of the art, we provide the constituency data set with most of the pre-processing steps of Green and Manning (2010), as they were shown to improve baseline performance on the PATB parsing considerably.12 To convert the original PATB to preprocessed phrase-structure trees á la Stanford, we first discard all trees dominated by X, which indicates errors and non-linguistic text.","At the phrasal level, we collapse unary chains with identical categories like NP → NP.","We finally remove all traces, but, unlike Green and Manning (2010), we keep all function tags.","In the original Stanford instance, the pre-terminal morphological analyses were mapped to the shortened Bies tag set provided with the treebank (where Determiner markers, “DT”, were added to definite noun and adjectives, resulting in 32 POS tags).","Here we use the Kulick tagset (Kulick et al., 2006) for 12 Both the corpus split and pre-processing code are available with the Stanford parser at http://nlp.stanford.edu/ projects/arabic.shtml.",Single Citance
109,C10-1045.xml,W13-4917.xml,"It exhibits a high degree of morphological ambiguity due to the absence of the diacritics and inconsistent spelling of letters, such as Alif and Ya.","As a consequence, the Buckwalter Standard Arabic Morphological Analyzer (Buckwalter, 2004; Graff et al., 2009) produces an average of 12 analyses per word.","Data Sets The Arabic data set contains two tree- banks derived from the LDC Penn Arabic Treebanks (PATB) (Maamouri et al., 2004b):11 the Columbia Arabic Treebank (CATiB) (Habash and Roth, 2009), a dependency treebank, and the Stanford version of the PATB (Green and Manning, 2010)",We preprocessed the treebanks to obtain strict token matching between the treebanks and the morphological analyses.,"This required nontrivial synchronization at the tree token level between the PATB treebank, the CATiB treebank and the morphologically predicted data, using the PATB source tokens and CATiB feature word form as a dual synchronized pivot.",Multi Citance
110,C90-2039.xml,P99-1061.xml,"First, it performs a destructive (but reversible) check that the two structures are compatible, and only when that succeeds does it produce an output structure.","Thus, no output structures are built until it is certain that the unification will ultimately succeed.","While an improvement over simple destructive unification, Tomabechi&apos;s approach still suffers from what Kogure (Kogure, 1990) calls redundant copying.","The new feature structures produced in the second phase of unification include copies of all the substructures of the input graphs, even when these structures are unchanged.","This can be avoided by reusing parts of the input structures in the output structure (Carroll and Malouf, 1999) without introducing significant book keeping overhead.",Single Citance
111,C90-2039.xml,C90-3046.xml,"""membe,'([a ~-- b 7, i,j, a, el, Cache), member( [b ,-, j, k, fl, f ], Chart), unify(e, [b: f], g)Is,~ ~ ~t~ rnember([a +-- 7, i, k, ctb,g], Agenda) Isn+, where e,f and g are feature structures, and .unify(x, y, z) means that z is the result of unifying x and y. Feature structures uniformly represent various lingtlistic constraints such as subcategorizations, gaps, unbounded dependencies, and logical forms.",A problem of this representation scheme is that it describes all possible constraints in one structure and deals with them at once.,This is inefficient with many copy operations due to unfications of unnecessary features that do not contribute to successful unification [6].,"It seems that a preferable approach is to treat linguistic constraints piece wise, taking into consideration abductivity of parsing, uniform integration of various linguistic proc~ssings, and the problem of a unificat.ion-based approach.","From this point of view, we describe such treatments as, especially, incorporation of word properties, case analyses, composition of logical forms, and interpretMon of noun phrases with adnominal particles.",Single Citance
112,C98-1097.xml,C02-1033.xml,"The work of Bigi (Bigi et al., 1998) stands in the same perspective but focuses on much larger topics than TDT.",These systems have a limited scope due to their topic representations but they are also more precise for the same reason.,"Hybrid systems that combine the approaches we have presented were also developed and illustrated the interest of such a combination: (Jobbins and Evett, 1998) combined word recurrence, collocations and a thesaurus; (Beeferman et al., 1999) relied on both collocations and linguistic cues.","The topic analysis we propose implements such a hybrid approach: it relies on a general language resource, a collocation network, but exploits it together with word recurrence in texts.","Moreover, it simultaneously achieves topic segmentation and link detection, i.e. determining whether two segments discuss the same topic.",Multi Citance
113,C98-1097.xml,C02-1033.xml,"Furthermore, it shows that TOPICOLL gets better results than a system that only relies on a collocation network such as SEGCOHLEX.","It also gets better results than a system such as TextTiling that is based on word recurrence and as TOPICOLL, works with a local context.","Thus, Table 1 confirms the fact reported in (Jobbins and Evett, 1998) that using collocations together with word recurrence is an interesting approach for text segmentation.","Moreover, TOPICOLL is more accurate than a system such as SEGAPSITH that depends on topic rep resentations.","Its accuracy is also slightly higher than the one reported in (Bigi et al., 1998) for a system that uses topic representations in a probabilistic way: 0.75 as precision, 0.80 as recall and 0.77 as f1-measure got on a corpus made of Le Monde’s articles too.",Single Citance
114,C98-1097.xml,P07-1061.xml,"Such topic models are generally built from a large set of example documents as in (Yam- ron et al., 1998), (Blei and Moreno, 2001) or in one component of (Beeferman et al., 1999).",These statistical topic models enable segmenters to improve their precision but they also restrict their scope.,"Hybrid systems that combine the approaches we have presented were also developed and illustrated the interest of such a combination: (Job- bins and Evett, 1998) combined word recurrence, co-occurrences and a thesaurus; (Beeferman et al., 1999) relied on both lexical modeling and discourse cues; (Galley et al., 2003) made use of word reiteration through lexical chains and discourse cues.",The work we report in this article takes place in the first category we have presented.,It does not rely on any a priori knowledge and exploits word usage rather than discourse cues.,Multi Citance
115,C98-1097.xml,P07-1061.xml,Segments are finally delimited by locating the areas where the similarity between units or groups of units is weak.,This quick overview highlights the important role of the evaluation of the similarity between discourse units in the segmentation process.,"When no external knowledge is used, this similarity is only based on the strict reiteration of words.",But it can be enhanced by taking into account semantic relations between words.,"This was done for instance in (Jobbins and Evett, 1998) by taking semantic relations from Rogets Thesaurus.",Post Contiguous
116,C98-1097.xml,P07-1061.xml,The evaluation of the lexical cohesion of a text relies as for TextTiling on a fixed-size focus window that is moved over the text to segment and stops at each sentence break.,The cohesion in the part of text delimited by this window is evaluated by measuring the word reiteration between its two sides.,"This is done in our case by applying the Dice coefficient between the two sides of the focus window, following (Jobbins and Evett, 1998).",This cohesion value is associated to the sentence break at the transition between the two sides of the window.,"More precisely, if Wl refers to the vocabulary of the left side of the focus window and Wr refers to the vocabulary of its right side, the cohesion in the window at position x is given by: LC (x) = 2 · card(Wl ∩ Wr ) (1) rec card(W ) + card(W ) The next step is done by removing as a possible topic shift each minimum that is not farther than 2 sentences from its preceding neighbor.",Pre Contiguous
117,C98-1097.xml,P07-1061.xml,"The heart of the algorithm we have presented above is the evaluation of lexical cohesion in the focus window, as given by Equation 1.",This evaluation is also a weak point as card(Wl  Wr ) only relies on word reiteration.,"As a consequence, two different words that respectively belongs to Wl and Wr but also belong to the same text topic cannot contribute l r to the identification of a possible topical similarity This measure was adopted instead of the Cosine measure used in TextTiling because its definition in terms of sets makes it easier to extend for taking into account other types of relations, as in (Jobbins and Evett, 1998).",A cohesion value is computed for each sentence break of the text to segment and the final result is a cohesion graph of the text.,"The last part of our algorithm is mainly taken from the LCseg system (Galley et al., 2003) and is divided into three steps: • computation of a score evaluating the probability of each minimum of the cohesion graph to be a topic shift; • removal of segments with a too small size; • selection of topic shifts.",Pre Contiguous
118,C98-1097.xml,P07-1061.xml,"In the work of Ponte and Croft (Ponte and Croft, 1997), the representations of sentences are expanded by adding to them words selected from an external corpus by the means of the Local Context Analysis (LCA) method.","Finally in (Caillet et al., 2004), a set of concepts are learnt from a corpus in an unsupervised way by using the X-means clustering algorithm and the paragraphs of documents are represented in the space defined by these concepts.","In fact, the way we use relations between words is closer to (Jobbins and Evett, 1998), even if the relations in this work come from a network of co-occurrences or a thesaurus rather than from text topics.","More globally, our work exploits the topics of a text for its segmentation.","This kind of approach was also explored in (Blei and Moreno, 2001) where probabilistic topic models were built in an unsupervised way.",Single Citance
119,C98-1097.xml,P07-1061.xml,"Hence, we plan to use a network of lexical co-occurrences, which is a source of knowledge that is easy to build automatically from a large corpus.","More precisely, we intend to extend our method for discovering text topics by combining the co-occurrence graph of a document with such a network.","This network could also be used more directly for topic segmentation as in (Job- bins and Evett, 1998).",$,$,Single Citance
120,C98-1097.xml,P06128.xml,"In other words, the task of linear text segmentation is to identify topic boundaries within a long text.","Linear text segmentation algorithms are widely used as an essential step in many natural language processing tasks, such as information retrieval and document summarization.","In information retrieval, to segment a long document into distinct topics is useful because only the topical segments relevant to the users needs are retrieved [1].","It not only provides more accurate information to the user, but also reduces the user’s burden to read the whole document.","In document summarization, a long document is often divided into topics and then each topic is summarized independently [2].",Single Citance
121,C98-1097.xml,S0885.xml,"Using semantic relations Many topic segmentation techniques, based on the lexical cohesion criterion, use semantic relations as additional information to take into account the semantic links that exist between words.","Indeed, the primary goal of semantic relations is obviously to ensure that two semantically related words, e.g., car and drive, contribute to the lexical cohesion, thus avoiding erroneous topic boundaries between two such words.","These different methods can use semantic relations that are manually defined by experts, as in Morris and Hirst (1991), or extracted automatically from corpora (Ferret, 2006; Jobbins and Evett, 1998).","For example, Ferret (2006) uses a network of lexical co-occurrences built from a large corpus to improve a topic segmenter based on lexical reiteration.","The algorithm in Jobbins and Evett (1998) compares adjacent windows of sentences and determines their lexical similarity, based on repetitions of words and collocations, to detect topic boundaries.",Pre Contiguous
